test_score,skill_match_ratio,relevant_experience,project_match,preferred_domain,skills_text,projects_text,titles_text,label
88,1.0,5,1,technical writing,writing documentation editing guidelines manuals reports problem solving content creation research technical manuals,process docs project,technical author content writer,fit
83,0.7272727272727273,6,1,networking,lanwlan vpn routing firewall cisco critical thinking dns network monitoring dhcp,network project,network engineer network analyst,fit
80,0.5555555555555556,5,1,quality assurance,test cases qa test automation jenkins bug tracking problem solving communication,regression project regression project,qa analyst qa analyst qa engineer,fit
71,0.8333333333333334,1,0,devops,automation aws cicd terraform jenkins kubernetes monitoring docker problem solving azure git,problem solving project problem solving project,build engineer,partial
78,0.5,2,1,robotics,automation teamwork embedded systems arduino ros sensors,manipulation project control project,robot programmer robotics engineer,partial
80,0.5384615384615384,1,0,uiux design,user research ux teamwork adobe xd wireframe figma visual design prototype communication,communication project,uiux specialist,partial
85,0.9166666666666666,4,1,cybersecurity,siem incident response network security linux penetration testing cryptography forensics risk management ethical hacking security auditing firewall,firewall configuration project critical thinking project,information security specialist soc analyst information security specialist,fit
83,0.9166666666666666,3,1,devops,automation aws cicd terraform teamwork jenkins monitoring kubernetes critical thinking docker scripting azure git,automation project problem solving project,release manager,fit
76,1.0,6,0,cybersecurity,siem incident response ethical hacking network security cryptography linux penetration testing forensics risk management vulnerability assessment security auditing firewall,critical thinking project,cybersecurity engineer security analyst,partial
80,0.8461538461538461,5,1,artificial intelligence,scikitlearn tensorflow cv computer vision rnn ml pipelines critical thinking problem solving keras nlp deep learning gan cnn,neural network project,nlp engineer ml engineer,fit
82,0.5,0,1,product management,scrum market research analytics critical thinking agile,product project,,suggest
82,0.6,3,1,blockchain,truffle remix cryptography defi critical thinking nfts solidity,token project,dapp developer blockchain engineer,fit
95,0.6666666666666666,0,1,technical writing,documentation guidelines teamwork manuals reports content creation research communication,manuals project process docs project,,suggest
91,0.8,6,1,robotics,control systems mechanical design embedded systems robotics robot programming critical thinking arduino ros sensors,navigation project,robot programmer robotics engineer automation engineer,fit
73,0.7777777777777778,2,1,technical writing,writing documentation guidelines teamwork manuals reports content creation communication technical manuals,critical thinking project manuals project,content writer,partial
